Immune cells	Malignant cells	Stromal cells
KIF2C	0.03281	0.0318	0.01474
RP11-269F19.2	0.00043	0.00045	0.00017
RPS8	3.2537	3.57142	2.53574
BEST4	0.00117	0.00157	0.00088
PLK3	0.36171	0.14819	0.17924
TCTEX1D4	0.00245	0.00631	0.00172
BTBD19	0.02867	0.01521	0.02543
PTCH2	0.04108	0.00661	0.02581
EIF2B3	0.05683	0.17638	0.06176
HECTD3	0.05129	0.05452	0.0446
UROD	0.11732	0.34315	0.1326
ZSWIM5	0.00122	0.03186	0.01179
LINC01144	0.00075	0.00232	0.00372
HPDL	0.00096	0.01041	0.0018
MUTYH	0.02893	0.05001	0.02672
TOE1	0.03897	0.06055	0.03458
TESK2	0.06332	0.02225	0.01798
CCDC163P	0.0045	0.01074	0.00741
MMACHC	0.00746	0.0304	0.01518
PRDX1	1.51918	2.29892	1.12919
AKR1A1	0.4909	0.78477	0.31684
NASP	0.45601	0.53155	0.31806
CCDC17	0.00334	0.01545	0.0141
GPBP1L1	0.1953	0.29598	0.19472
TMEM69	0.08362	0.19511	0.08143
IPP	0.01694	0.07494	0.04731
MAST2	0.0226	0.05137	0.0484
PIK3R3	0.043	0.0094	0.08567
RP4-533D7.5	0.00059	9e-04	0
TSPAN1	0.01011	0.47922	0.21778
POMGNT1	0.03075	0.13883	0.09274
LURAP1	0.00224	0.00417	0.00813
RAD54L	0.00585	0.00854	0.00882
LRRC41	0.09026	0.17294	0.10599
UQCRH	1.0684	1.85363	0.93958
NSUN4	0.04749	0.09624	0.06578
FAAH	0.00461	0.05377	0.02958
DMBX1	0.00017	0.00106	0.00035
MKNK1	0.2713	0.10914	0.10068
MOB3C	0.05381	0.02604	0.02934
ATPAF1	0.07959	0.21381	0.06835
TEX38	3e-04	0.00039	0.00043
EFCAB14	0.24917	0.31244	0.20526
CYP4B1	0	0.00164	0.00087
CYP4A11	0.00247	0.06903	0.02869
CYP4X1	0.00019	0.00797	0.01096
CYP4A22-AS1	0.00036	0.00315	0.0061
CYP4A22	0.00031	0.01371	0.00379
LINC00853	0.00162	0.02334	0.00584
PDZK1IP1	0.00985	0.46229	0.19218
TAL1	0.00101	0.00015	0.01248
STIL	0.02079	0.02997	0.0171
CMPK1	0.42185	0.9272	0.42558
LINC01389	6e-05	9e-04	0.00026
FOXD2-AS1	0.00663	0.01457	0.00594
FOXD2	0.00455	0.01823	0.01372
TRABD2B	0.00145	0.05315	0.03152
SLC5A9	0.00227	0.03697	0.04105
RP5-1024N4.4	0.00022	0.00067	0.00197
SPATA6	0.02073	0.04065	0.04636
AGBL4	0.00011	0.00166	0.0011
BEND5	0.00388	0.0012	0.00798
ELAVL4	0.02494	0.01959	0.01523
RP11-567C20.2	9e-05	0.00195	0.00048
DMRTA2	0	0.001	0
FAF1	0.10013	0.1308	0.06527
CDKN2C	0.11067	0.04573	0.04979
LINC01562	0.00049	0.00106	3e-04
RNF11	0.15181	0.2155	0.15157
TTC39A	0.00375	0.11016	0.04201
TTC39A-AS1	0.00034	0.00418	0.00572
EPS15	0.30724	0.19799	0.17796
RP11-191G24.1	0.00043	0.00125	0.00111
OSBPL9	0.13701	0.31716	0.17359
NRDC	0.23769	0.32438	0.211
RP4-657D16.3	0.00136	0.00159	0.00092
RP4-657D16.6	0.00067	0.00069	0.00026
RAB3B	0.00306	0.1057	0.05178
TXNDC12	0.27773	0.52982	0.22241
KTI12	0.0307	0.0551	0.02357
BTF3L4	0.43606	0.75069	0.31553
ZFYVE9	0.00497	0.08295	0.05398
CC2D1B	0.04441	0.05173	0.0447
RP11-155O18.6	0.00032	0.00034	0.00022
ORC1	0.00808	0.00569	0.0036
PRPF38A	0.19784	0.2365	0.13861
ZCCHC11	0.23329	0.27603	0.26856
GPX7	0.01333	0.00453	0.01431
FAM159A	0.02819	0.00042	0.00315
COA7	0.0348	0.12849	0.0375
ZYG11B	0.13327	0.15487	0.10805
ZYG11A	0.00022	0.00306	0.00327
ECHDC2	0.0615	0.32076	0.19464
SCP2	0.51524	1.23052	0.53982
PODN	0.00028	0.00954	0.01629
SLC1A7	0.00277	0.05758	0.02923
RP11-334A14.8	0.00019	0.00842	0.00482
CPT2	0.0528	0.10093	0.03931
RP5-1024G6.2	0.00081	0.00089	0.00121
C1orf123	0.10884	0.22257	0.13564
RP5-1024G6.7	0.00298	0.00166	0.0045
MAGOH	0.39158	0.64705	0.25984
RP5-1024G6.5	0.00114	0.00353	0.00217
LRP8	0.01027	0.02659	0.01888
RP11-117D22.2	0.00315	0.00013	0.00022
GLIS1	0.00027	0.00302	0.00208
NDC1	0.04102	0.10778	0.04776
YIPF1	0.06481	0.12242	0.06017
DIO1	0.00338	0.09861	0.02525
HSPB11	0.25208	0.485	0.17703
LRRC42	0.04739	0.18271	0.06947
LDLRAD1	2e-04	0.00706	0.00369
TMEM59	0.84795	1.60373	0.95736
TCEANC2	0.027	0.03853	0.04024
CYB5RL	0.00656	0.02063	0.01724
MRPL37	0.12944	0.41784	0.14003
SSBP3	0.08364	0.19694	0.13685
SSBP3-AS1	0.00048	0.00086	0.00056
ACOT11	0.03582	0.07547	0.06465
FAM151A	0.00335	0.11815	0.05917
MROH7	0.00239	0.00759	0.00812
TTC4	0.01346	0.02755	0.01698
PARS2	0.00414	0.02752	0.00587
TTC22	0.00466	0.05404	0.02476
LEXM	0.00014	0.00113	0.00068
DHCR24	0.0599	0.94397	0.41267
RP11-67L3.5	0.00016	0.0011	0.00053
RP11-67L3.4	0.00044	0.0147	0.0046
TMEM61	1e-04	0.01274	0.00355
BSND	0	0.0027	0.00166
PCSK9	0.00491	0.11303	0.07193
USP24	0.07589	0.12277	0.07972
RP11-504A18.1	0.00064	0.00528	0.00326
RP4-710M16.2	0.00194	0.07179	0.01274
PLPP3	0.02854	0.11747	0.13757
PRKAA2	0.00221	0.11771	0.05534
C1orf168	3e-05	0.00291	0.00202
C8A	0.00342	0.15427	0.07814
C8B	0.00145	0.05827	0.02547
DAB1	0.00086	1e-05	0
OMA1	0.08049	0.18918	0.06807
TACSTD2	0.01246	0.44318	0.2632
MYSM1	0.13174	0.12879	0.13546
JUN	2.31344	1.12664	1.71705
RP11-63G10.3	0.00026	0.00038	0
RP4-794H19.1	0.00612	0.01174	0.00308
LINC01358	0.00934	0.00072	0.00356
RP11-467C18.1	4e-05	0.00049	0.00043
FGGY	0.0315	0.10525	0.04839
HOOK1	0.01896	0.33155	0.10207
CYP2J2	0.00298	0.12821	0.04271
RP11-776H12.1	0.00038	0.02315	0.0182
NFIA	0.05144	0.23434	0.28237
TM2D1	0.15752	0.4165	0.23337
RP11-430G17.3	0.00343	0.01141	0.0106
INADL	0.03454	0.24196	0.1543
L1TD1	0.00048	0.00155	0.00228
KANK4	7e-05	0.00795	0.00354
USP1	0.17524	0.20514	0.09475
DOCK7	0.09992	0.14094	0.10546
ANGPTL3	0.02849	0.8442	0.32196
RP11-230B22.1	0.00062	0.01343	0.00634
ATG4C	0.12428	0.09703	0.05399
FOXD3-AS1	2e-05	0.00146	0.00082
ALG6	0.04958	0.13882	0.06015
ITGB3BP	0.10361	0.24929	0.10019
EFCAB7	0.01145	0.03381	0.02043
PGM1	0.09619	0.2543	0.08614
ROR1	0.0022	0.03001	0.01413
ROR1-AS1	0.00036	0.00285	0.00148
CACHD1	0.00044	0.01526	0.01614
RAVER2	0.00587	0.08342	0.05353
JAK1	0.7425	0.43253	0.37829
RP4-535B20.4	0.00062	5e-04	0.00128
RP4-535B20.1	0.00035	0.00013	0.0019
AK4	0.09772	0.61984	0.21747
DNAJC6	0.00196	0.00756	0.00694
LEPROT	0.32329	0.50262	0.38705
LEPR	0.02538	0.02625	0.03953
PDE4B	0.31957	0.01469	0.05676
SGIP1	0.0013	0.00038	0.03878
TCTEX1D1	0.01856	0.00085	0.01421
WDR78	0.00215	0.00812	0.00743
MIER1	0.32503	0.2727	0.20349
SLC35D1	0.05189	0.14743	0.0634
IL23R	0.01366	0.00126	0.00227
IL12RB2	0.00787	0.00021	0.00087
SERBP1	0.97029	1.18256	0.63567
RP11-393N21.2	2e-04	0.00453	0.00068
GADD45A	0.23804	0.16827	0.1941
GNG12	0.01808	0.27981	0.18696
GNG12-AS1	2e-04	0.00412	0.00494
DIRAS3	0.00315	0.00244	0.00574
WLS	0.05088	0.08967	0.10913
DEPDC1	0.02743	0.05614	0.01453
DEPDC1-AS1	0.00091	0.00127	0
RP3-380B4.1	3e-05	0.00034	0.00012
LRRC40	0.07567	0.11813	0.05485
SRSF11	0.60367	0.73298	0.64103
RP4-677H15.4	0.00058	2e-04	0
ANKRD13C	0.06764	0.07471	0.05597
HHLA3	0.03078	0.10549	0.03515
CTH	0.014	0.10883	0.02947
RP11-42O15.3	0.00033	0.00626	0.00156
PTGER3	0.00115	0.00041	0.01539
ZRANB2	0.30297	0.57405	0.48341
NEGR1	0.00248	0.00044	0.00352
RP4-660H19.1	0.00013	0.00844	0.00041
LRRIQ3	0.00254	0.02561	0.00891
FPGT	0.04442	0.13372	0.05222
FPGT-TNNI3K	0.00146	0.0024	0.00531
ERICH3	0.00027	3e-04	0.00033
RP11-17E13.2	0.00139	0.02061	0.01102
CRYZ	0.06972	0.60443	0.21892
TYW3	0.12877	0.31081	0.13308
SLC44A5	0.00116	0.06054	0.04273
ACADM	0.16319	0.2606	0.11678
RABGGTB	0.281	0.73869	0.3534
MSH4	0.00021	0.00058	0.00054
ST6GALNAC3	0.00278	0.00213	0.00903
ST6GALNAC5	0	0.00552	0.00241
PIGK	0.07033	0.19165	0.10845
AK5	0.00065	0.00566	0.0012
ZZZ3	0.09605	0.1895	0.11967
USP33	0.16147	0.19746	0.14692
FAM73A	0.07667	0.21144	0.12369
NEXN-AS1	4e-05	0.00055	0.00177
NEXN	0.00759	0.00245	0.05584
FUBP1	0.20903	0.2448	0.16588
DNAJB4	0.54556	0.2931	0.41463
GIPC2	0.00248	0.12376	0.04806
RP11-386I14.4	0.14218	0.02424	0.06006
PTGFR	0.00016	0.00382	0.00132
IFI44L	0.14976	0.14996	0.20254
IFI44	0.17585	0.09081	0.11742
ADGRL4	0.00028	0.00054	0.10219
RP11-339D23.1	8e-05	0.00715	0.00158
RP5-933B4.1	0.00044	0.01233	0.0058
RP5-887A10.1	0.00711	0.00074	0.0017
ADGRL2	0.00439	0.18849	0.12687
LINC01361	0	0.00093	0.00044
RP11-475O6.1	0.00043	0.0095	0.008
RP5-836J3.1	3e-05	0.00639	0.00634
TTLL7	0.00383	0.01168	0.03585
RP11-486G15.2	0.00209	0.0222	0.02445
PRKACB	0.30482	0.23189	0.14201
SAMD13	0.00534	0.03049	0.00768
DNASE2B	0.00443	0.00031	0.00015
RPF1	0.14821	0.24013	0.08652
GNG5	0.98492	1.47346	0.73432
CTBS	0.22524	0.23709	0.13875
SSX2IP	0.02574	0.06213	0.01988
LPAR3	0.00153	0.00139	0.00019
MCOLN2	0.03252	0.00215	0.00246
WDR63	0.00061	0.00114	0.00015
MCOLN3	0.01635	0.01286	0.00907
SYDE2	0.00364	0.04367	0.02574
C1orf52	0.15914	0.20159	0.12364
BCL10	0.2439	0.21247	0.13891
RP11-131L23.1	0.00042	0.00114	0.00055
DDAH1	0.00928	0.33814	0.13518
RP11-131L23.2	6e-05	0.00255	0.001
RP4-621F18.2	0	0.00374	0.01848
RP11-290M5.4	0	0.00045	0.00205
CYR61	0.0074	0.21053	0.36564
ZNHIT6	0.08695	0.1559	0.12048
COL24A1	0.0012	0.0068	0.00362
ODF2L	0.21705	0.08318	0.19288
RP4-612B15.3	0.00429	0.00401	0.00512
SH3GLB1	0.53972	0.38586	0.29092
SEP15	0.5661	0.9176	0.47852
HS2ST1	0.08459	0.17846	0.09579
LINC01140	0.00201	0.00598	0.00411
LMO4	0.35262	0.70518	0.57197
PKN2	0.16643	0.34643	0.3477
GTF2B	0.27935	0.29446	0.1258
CCBL2	0.08428	0.09919	0.05671
RBMXL1	0.06326	0.09454	0.06465
GBP3	0.12879	0.09964	0.08898
GBP1	0.29162	0.04384	0.11191
GBP2	0.41796	0.13095	0.16168
GBP7	0.0012	0.00221	0.0012
GBP4	0.17558	0.04896	0.08701
GBP5	0.20045	0.00623	0.02902
LRRC8B	0.04342	0.09828	0.05535
FLJ27354	0.01447	0.0019	0.00607
LRRC8C	0.1728	0.00971	0.04794
RP5-943J3.2	0.00394	0.00984	0.005
LRRC8D	0.05564	0.10827	0.04588
RP11-302M6.5	0	0.00067	0
ZNF326	0.14584	0.27632	0.19781
RP4-665J23.1	0.0053	0.1564	0.04324
RP4-665J23.2	0.00017	0.00294	0.00179
ZNF644	0.27705	0.32338	0.27514
HFM1	0.00011	0.0052	0.00199
CDC7	0.01545	0.02491	0.03151
TGFBR3	0.03792	0.04613	0.09759
BRDT	0.00086	5e-05	0
EPHX4	0.00116	0.03618	0.00953
BTBD8	0.00408	0.01844	0.01785
KIAA1107	0.01076	0.03895	0.03145
RP4-621B10.8	0.00024	0.00042	0.00061
GLMN	0.04717	0.07447	0.03642
RPAP2	0.08949	0.14583	0.09421
GFI1	0.02746	0.00212	0.00395
EVI5	0.1215	0.30452	0.14887
RPL5	2.06607	2.81323	1.75899
FAM69A	0.02039	0.04959	0.02375
MTF2	0.18937	0.19993	0.16891
TMED5	0.40835	0.43286	0.2345
CCDC18	0.02941	0.02355	0.01146
DR1	0.23015	0.24141	0.15579
FNBP1L	0.01776	0.2818	0.18081
BCAR3	0.03279	0.07243	0.04674
RP5-1033H22.2	0.00162	0.05173	0.01554
RP4-561L24.3	0.00223	0.00136	0.00133
DNTTIP2	0.33998	0.28544	0.15053
GCLM	0.14549	0.70989	0.23678
ABCA4	0.00032	0.00711	0.00506
ARHGAP29	0.00632	0.20889	0.30646
RP11-148B18.1	3e-05	0.00185	0.00115
ABCD3	0.07417	0.27064	0.15161
F3	0.01645	0.11553	0.08018
SLC44A3	0.00393	0.17221	0.04
CNN3	0.01559	0.33951	0.33146
RP4-639F20.1	0.00092	0.02198	0.0077
ALG14	0.03151	0.20823	0.07266
TMEM56	0.00467	0.15839	0.04298
TMEM56-RWDD3	0.0015	0.0033	0.00141
RP11-57H12.3	0	0.00138	0.00251
RWDD3	0.00507	0.01264	0.01068
PTBP2	0.05887	0.26065	0.15423
DPYD	0.20516	0.1347	0.09503
SNX7	0.02032	0.20554	0.07018
PLPPR4	0	3e-04	0.00779
PALMD	0.00078	0.04978	0.11355
FRRS1	0.02292	0.11639	0.05649
AGL	0.07985	0.25542	0.10136
RP5-884G6.2	0.0013	0.01231	0.00232
SLC35A3	0.09115	0.19455	0.11049
MFSD14A	0.1106	0.1417	0.09665
SASS6	0.04018	0.06462	0.02804
TRMT13	0.07723	0.15002	0.11884
LRRC39	0.00358	0.00167	0.0036
DBT	0.0634	0.1328	0.07324
RTCA-AS1	0.00206	0.00332	0.00187
RTCA	0.16589	0.18312	0.07894
CDC14A	0.07085	0.02395	0.02947
GPR88	0.00032	0.00374	0.00236
VCAM1	0.16184	0.05708	0.10712
EXTL2	0.0267	0.13534	0.09486
RP4-549L20.3	0.00828	0.01793	0.0256
SLC30A7	0.15002	0.21256	0.13751
DPH5	0.0577	0.1513	0.05583
RP11-421L21.2	0.00274	0.00144	0.00039
RP11-421L21.3	0.01158	0.04983	0.02351
RP4-575N6.4	0.00313	0.00013	0.00089
S1PR1	0.04498	0.00284	0.04922
OLFM3	0	0.00042	0.00023
RP11-202K23.1	0.00046	0.01463	0.00319
RP5-936J12.1	0	9e-04	0.00153
COL11A1	0	0.00056	0.00283
RNPC3	0.06517	0.11557	0.15986
AMY2B	0.00745	0.01147	0.01678
PRMT6	0.02968	0.10055	0.02864
NTNG1	0.00048	0.00031	0.00038
VAV3	0.12312	0.02842	0.02181
VAV3-AS1	0.00082	0.00021	0
RP11-356N1.2	0.00999	0.00041	0.00033
SLC25A24	0.22751	0.13601	0.11034
RP11-483I13.5	0.00267	0.00294	0.00244
FAM102B	0.16864	0.08162	0.06826
HENMT1	0.04298	0.08995	0.03357
PRPF38B	0.59116	0.37999	0.3722
STXBP3	0.21777	0.23601	0.15632
AKNAD1	0.00112	0.00249	0.00897
RP11-475E11.9	0.00029	0.00042	0.00021
GPSM2	0.04405	0.04939	0.03057
CLCC1	0.04972	0.12304	0.08286
WDR47	0.06234	0.02939	0.02662
TAF13	0.11115	0.13333	0.08695
RP5-1065J22.8	0.01043	0.02839	0.03362
TMEM167B	0.17334	0.18686	0.09761
SCARNA2	0.0023	0.00124	0.00348
KIAA1324	0.01077	0.09808	0.04962
SARS	0.25233	0.63367	0.29683
CELSR2	0.00277	0.00875	0.01206
PSRC1	0.01181	0.01581	0.00915
SORT1	0.06802	0.07435	0.09127
PSMA5	0.40702	0.76218	0.28428
SYPL2	0	0.00051	0.00348
ATXN7L2	0.00615	0.00668	0.008
CYB561D1	0.00852	0.01455	0.01615
AMIGO1	0.00045	0.00736	0.00354
GNAI3	0.5187	0.3759	0.24954
GNAT2	0.00014	0.00032	0.00026
AMPD2	0.07492	0.08381	0.05304
GSTM4	0.04095	0.10706	0.04933
GSTM2	0.0103	0.00318	0.0063
GSTM1	0.00347	2e-04	0.00177
GSTM5	0.00064	0.00032	0.00728
GSTM3	0.03663	0.3158	0.14197
EPS8L3	0.00481	0.17996	0.09819
RP11-195M16.3	0.00042	0.0018	0.00171
CSF1	0.15842	0.07195	0.07098
AHCYL1	0.25172	0.47426	0.29339
STRIP1	0.04534	0.05193	0.05032
RP4-773N10.4	0.00275	0.00746	0.0098
KCNC4-AS1	0.00024	0.00047	0.00046
KCNC4	0.01389	0.13408	0.11711
RP5-1074L1.1	0.00075	0.00206	0.00058
RBM15	0.05873	0.06321	0.06761
SLC16A4	0.01647	0.1067	0.06401
RP5-1074L1.4	0.00826	0.03529	0.03814
LAMTOR5	0.57784	1.04464	0.48086
RP11-284N8.3	0.03959	0.00182	0.00887
KCNA3	0.02001	0.00075	0.00165
CD53	0.86758	0.03855	0.08922
RP11-96K19.2	0.00224	0.00019	0
LRIF1	0.11803	0.20813	0.07576
RP11-96K19.5	0.00947	0.00533	0.004
DRAM2	0.38203	0.28996	0.15742
CEPT1	0.17398	0.12684	0.11188
RP5-1180E21.5	0.01548	0.01389	0.00873
DENND2D	0.162	0.1136	0.05553
CHI3L2	0.01759	0.00138	0.00219
PIFO	0.00115	0.01325	0.00252
OVGP1	0.00271	0.08453	0.02346
WDR77	0.09207	0.29569	0.10747
ATP5F1	0.59954	1.10722	0.41737
C1orf162	0.60949	0.03596	0.07023
TMIGD3	0.04771	0.00204	0.00645
ADORA3	0.0915	0.00389	0.00741
RAP1A	0.72916	0.33345	0.25406
LINC01160	0.00118	3e-05	0.00019
FAM212B	0.0171	0.01544	0.03354
FAM212B-AS1	0.00051	0.00127	0.00654
DDX20	0.04729	0.05904	0.03361
KCND3	0.00149	0.02072	0.01058
RP11-88H9.2	0.00029	0.00616	0.00114
CTTNBP2NL	0.10607	0.09724	0.14775
WNT2B	0.00774	0.0175	0.03078
RP4-671G15.2	0.00034	0.0012	0.00105
ST7L	0.03437	0.07751	0.05686
CAPZA1	0.86194	0.59428	0.35728
MOV10	0.0546	0.10969	0.09835
RP11-426L16.3	0.00025	0.00157	0.00179
RHOC	0.44603	0.89744	0.57404
PPM1J	0.00153	0.00812	0.0033
RP11-426L16.9	0.00016	0.00054	0.00702
FAM19A3	0.00066	2e-04	0
LINC01356	0.00174	0.00017	0.00017
RP3-522D1.1	0.01964	0.00395	0.00211
SLC16A1	0.13434	0.20566	0.10218
SLC16A1-AS1	0.05882	0.06859	0.08044
RP11-31F15.2	0.00526	0.00496	0.00652
LRIG2	0.03783	0.06669	0.06984
MAGI3	0.01205	0.12265	0.09155
PHTF1	0.04114	0.07375	0.04745
RSBN1	0.15953	0.12689	0.10619
RP5-1073O3.2	7e-04	6e-05	0.00072
PTPN22	0.359	0.03241	0.03933
AP4B1-AS1	0.00542	0.00195	0.00278
BCL2L15	0.00422	0.16729	0.07828
AP4B1	0.0375	0.04696	0.03539
DCLRE1B	0.04583	0.01983	0.01403
HIPK1-AS1	0.03006	0.00785	0.01097
HIPK1	0.27413	0.23045	0.18934
OLFML3	0.00542	0.06268	0.0713
SYT6	0.00131	1e-04	0
TRIM33	0.20197	0.22659	0.19309
BCAS2	0.50739	0.35192	0.18068
DENND2C	0.00514	0.02233	0.02166
NRAS	0.17489	0.24585	0.10603
CSDE1	0.75142	0.80623	0.45709
SIKE1	0.15187	0.20995	0.12432
TSPAN2	0.01464	0.00335	0.01446
NGF	0	0.00015	0.02452
VANGL1	0.01455	0.0635	0.02733
CASQ2	0.00012	0	0.01124
SLC22A15	0.01098	0.05633	0.05558
MAB21L3	0.00026	0.0027	0.00526
ATP1A1	0.38581	0.65119	0.43728
RP4-655J12.4	5e-04	0.00159	0.00022
RP5-1086K13.1	0.00148	0.00232	0.00121
CD58	0.20586	0.1959	0.09462
IGSF3	0.0046	0.1141	0.05111
CD2	0.72348	0.036	0.07261
RP4-753F5.1	0.00037	0.00059	0.00125
PTGFRN	0.03009	0.13907	0.09092
CD101	0.01909	0.00307	0.00094
RP11-27K13.3	0.00081	0.00265	0.00069
TTF2	0.07942	0.09276	0.0652
TRIM45	0.00368	0.0197	0.01657
VTCN1	0.00013	0.0262	0.01037
RP11-188D8.1	0.00062	0.00312	0.00293
MAN1A2	0.14675	0.36681	0.18829
FAM46C	0.21609	0.02418	0.03961
GDAP2	0.07915	0.0918	0.0725
WDR3	0.04217	0.15698	0.05738
SPAG17	6e-05	0.00858	0.01075
TBX15	0.0018	0.04152	0.01575
WARS2	0.04212	0.11053	0.04492
WARS2-IT1	9e-05	0.00082	0.00061
RP11-418J17.1	0.00847	0.0119	0.01773
RP5-834N19.1	9e-05	0.00293	0.00083
ZNF697	0.01304	0.02799	0.02073
PHGDH	0.03568	0.50133	0.14866
HMGCS2	0.00811	0.25517	0.05524
REG4	0.00241	0.11575	0.05421
NOTCH2	0.13613	0.10963	0.09629
SEC22B	0.21601	0.34179	0.20495
AC253572.1	0.00912	0.00295	0.0037
NBPF26	0.00701	0.00628	0.0064
AC241377.2	0.00109	0.00214	0.00152
LINC00623	0.02371	0.02999	0.01591
FCGR1B	0.05554	0.00193	0.00353
RP11-439A17.10	0.00045	6e-05	0
RP11-439A17.9	0.00108	0.00057	0.00032
FAM72B	0.00562	0.0034	0.00491
SRGAP2C	0.13716	0.0259	0.06697
CH17-437K3.1	0.00208	0.00016	0.00107
RP11-344P13.4	0.00044	0.02273	0.00548
RP11-344P13.6	0.00642	0.04733	0.0101
RP11-403I13.5	0.00371	0.01418	0.00936
RP11-403I13.7	0.00111	0.00227	0.00294
RP5-998N21.4	0.0019	0.00036	0.00018
FAM72C	0.00413	0.0044	0.00161
RP11-14N7.2	0.01432	0.3568	0.16295
RP11-763B22.4	0.0144	0.00751	0.01021
NBPF15	0.02758	0.04645	0.049
CH17-125A10.2	2e-05	0.00092	0.00058
RP11-289H16.1	0.00178	0.00011	0.00084
SRGAP2B	0.08576	0.01752	0.04672
FAM72D	0.00712	0.00471	0.00349
AC241585.2	0.0019	0.00313	0.00201
CH17-373J23.1	0.10926	0.00749	0.02905
RP11-89F3.2	0.00085	0.00012	0
NBPF20	0.00542	0.01721	0.01085
GPR89A	0.03409	0.0745	0.03977
PDZK1	0.00437	0.15111	0.04518
CD160	0.01013	0.00099	0.00206
RNF115	0.23873	0.21657	0.17782
POLR3C	0.0358	0.04352	0.0189
NUDT17	0.00627	0.02313	0.01438
PIAS3	0.02234	0.0679	0.0578
ANKRD35	0.0102	0.00081	0.00335
ITGA10	0.0029	0.02417	0.03818
PEX11B	0.04896	0.11683	0.04653
RBM8A	0.68812	0.82866	0.4233
RP11-315I20.1	7e-04	0.00225	0.00061
LIX1L	0.1226	0.04676	0.07711
ANKRD34A	0.00139	0.0014	0.00216
POLR3GL	0.25527	0.32047	0.12185
TXNIP	1.45845	0.58976	0.71042
HFE2	0.00583	0.14636	0.04362
RP11-458D21.1	0.00052	0.00985	0.0036
NBPF10	0.00588	0.00437	0.00386
NOTCH2NL	0.03276	0.02294	0.04468
CH17-353B19.1	0.00233	0.00251	0.00043
NBPF12	0.03305	0.03543	0.0361
PRKAB2	0.0403	0.22318	0.14992
RP11-337C18.8	0.01146	0.02567	0.02264
FMO5	0.01193	0.18528	0.08491
CHD1L	0.06743	0.13265	0.06771
LINC00624	0.00163	0.00091	0.00258
BCL9	0.00754	0.03872	0.0279
ACP6	0.021	0.10154	0.05837
GJA5	4e-05	0.00012	0.00918
GPR89B	0.03108	0.06053	0.03746
XXyac-YX155B6.7	0.00059	6e-04	0.00113
RP11-94I2.4	0.00037	0.00106	0.00088
NBPF11	0.02053	0.03312	0.03112
RP4-565E6.1	0	0.00214	0.00603
RP6-74O6.6	0.00018	0.00085	0.00026
LINC01138	0.02056	0.08145	0.04816
RP11-495P10.1	0.00401	0.00557	0.00505
AC245100.1	0.03075	0.05198	0.01667
PPIAL4G	0.00246	0.00083	0.00044
NBPF14	0.04141	0.03979	0.03284
PDE4DIP	0.13445	0.12663	0.08447
NBPF9	0.01445	0.01415	0.02266
CH17-189H20.1	0.18247	0.3027	0.2306
RP11-326G21.1	0.0036	0.00861	0.0077
NBPF19	0.09356	0.04635	0.06287
LINC00869	0.07025	0.12796	0.07739
FAM231D	0.01069	0.01722	0.0103
FCGR1A	0.17866	0.00731	0.01797
HIST2H2BF	0.02976	0.01849	0.03945
RP11-196G18.3	0.00383	0.00239	0.00506
HIST2H3D	0.00212	0.00023	0.00143
HIST2H4A	0.00125	0.00819	0.00196
HIST2H2AA3	0.00045	0.00028	0
HIST2H2BE	0.04946	0.08596	0.06416
RP11-196G18.24	0.00698	0.01271	0.01123
HIST2H2AA4	0.00244	0.00273	0.00087
HIST2H4B	0.00384	0.00207	0.005
RP11-196G18.23	0.00623	0.01128	0.01449
HIST2H2AC	0.07496	0.04162	0.05577
HIST2H2AB	0.00243	0.00182	0.0028
BOLA1	0.03202	0.14751	0.07032
SV2A	0.00772	0.00768	0.0095
SF3B4	0.1478	0.27048	0.15951
MTMR11	0.01436	0.21073	0.14765
OTUD7B	0.01791	0.15652	0.1176
VPS45	0.06635	0.09469	0.08574
PLEKHO1	0.66911	0.03906	0.16636
ANP32E	0.37667	0.32169	0.17558
CA14	1e-04	0.00232	0.00137
APH1A	0.31667	0.38594	0.20429
C1orf54	0.39701	0.01812	0.18505
CIART	0.0084	0.03226	0.0151
MRPS21	0.50644	1.10986	0.58094
PRPF3	0.06562	0.08154	0.07325
RPRD2	0.10749	0.15734	0.11007
TARS2	0.04312	0.09191	0.04862
ECM1	0.044	0.24231	0.12661
FALEC	0.00302	0.02399	0.01511
RP11-54A4.2	0.0029	0.00082	0.00189
ADAMTSL4	0.06131	0.05097	0.03682
MCL1	1.45883	0.71336	0.74666
ENSA	0.38516	0.45209	0.28514
GOLPH3L	0.04935	0.16503	0.07648
HORMAD1	0.00132	0.00065	0.00047
CTSS	1.25027	0.37772	0.29999
CTSK	0.01197	0.00929	0.04214
ARNT	0.10884	0.07432	0.06796
SETDB1	0.04196	0.06375	0.04706
CERS2	0.17354	0.46805	0.24032
RP11-316M1.3	0.00013	0.00098	0.00022
ANXA9	0.0041	0.15401	0.0261
FAM63A	0.01633	0.03507	0.03053
PRUNE	0.03075	0.06199	0.02852
BNIPL	0.00469	0.0012	0.00236
C1orf56	0.26275	0.15029	0.13509
CDC42SE1	0.42095	0.2151	0.20143
MLLT11	0.04897	0.02825	0.03042
GABPB2	0.05701	0.07173	0.08158
SEMA6C	0.00335	0.00708	0.01644
TNFAIP8L2	0.13525	0.00376	0.00916
SCNM1	0.17943	0.15251	0.09445
LYSMD1	0.00244	0.02276	0.01901
VPS72	0.077	0.18779	0.08897
