M1	cDC1	M2	CD8Tcm	Malignant	Epithelial	Treg	Fibroblasts	Tprolif	DC	B	Monocyte	Endothelial	Mast
TNFRSF8	0.00249	0.00917	0.03779	0.00029	0.00043	0.00032	0.04674	0.00302	0.01719	0.00958	0	0.01194	0.02072	0
TNFRSF1B	0.63472	0.69299	0.81169	0.63353	0.03715	0.07771	1.19295	0.20827	0.60661	0.73478	0.28287	0.85734	0.27595	0.02614
VPS13D	0.07156	0.08133	0.07383	0.04474	0.06734	0.06231	0.04024	0.17237	0.07472	0.09407	0.05623	0.08714	0.18119	0.05046
DHRS3	0.52365	0.52062	0.13934	0.14043	0.29833	0.15794	0.04143	0.17403	0.38718	0.6433	0.02217	0.49787	0.11909	0.01944
RP11-474O21.5	0.00417	0.0012	0.00157	0.00066	0.00114	0.00267	0	0	0.00467	0.00459	0	0.00927	0.00746	0
PDPN	0.02323	0.00572	0.00198	0	0.00074	4e-04	0	0.02792	0.00477	0.02234	0	0.00649	0.00269	0
PRDM2	0.17549	0.19508	0.17756	0.35902	0.08349	0.0969	0.39641	0.16343	0.25412	0.19351	0.7013	0.17375	0.21537	0.16957
KAZN	0.00884	0.0024	0.0031	0.00056	0.02491	0.01197	0.00273	0.09752	0.00192	0.00768	0.002	0.00223	0.07224	0.03576
TMEM51-AS1	0.03145	0.01213	0.0032	0.00129	0.00941	0.01368	0	0.004	0.00664	0.0253	0	0.01586	0	0
TMEM51	0.5535	0.32321	0.12866	0.00498	0.04382	0.03964	0.00627	0.13118	0.21103	0.54156	0.00298	0.36517	0.0363	0
FHAD1	0.02696	0.03497	0.01705	0.00348	0.0032	0.00425	0.00183	0.0064	0.01805	0.032	0	0.02959	0.00357	0
RP3-467K16.2	0.00112	0.01158	0.00273	0.00042	0.00025	3e-04	0	0	0.00954	0.00389	0	0.00384	0	0
RP3-467K16.4	0.00357	0.00081	0.00309	0.00218	0.00024	0	0.00113	0.00138	0.00081	0.00269	0	0.00584	0	0
EFHD2	1.14208	1.30047	1.47939	0.51515	0.31713	0.23476	0.7951	0.33442	1.15105	1.27605	0.31698	1.41104	0.46846	0.72381
CTRC	0.00202	7e-04	0.00327	0.00323	0.00013	0	0.00114	0	0.00168	0	0	0.01293	0.00938	0
CELA2A	0	2e-04	0	0.0011	0.00011	0	0	0	0	0	0	0.00385	0.00357	0
CASP9	0.02402	0.03093	0.04576	0.02399	0.02292	0.01646	0.02998	0.04336	0.06138	0.03575	0.02712	0.05784	0.03821	0.04339
DNAJC16	0.05674	0.10039	0.05017	0.02488	0.07266	0.04457	0.04101	0.08129	0.07062	0.11253	0.06044	0.05853	0.04044	0.05024
RP4-680D5.8	0	0	0	0	0.00191	8e-04	0.00086	0	0.00095	0	0	0	0.00316	0
AGMAT	0.00474	0.00864	0.0047	0.0109	0.14153	0.0396	0.02153	0.00396	0.01554	0.01002	0.0178	0.00574	0	0
RP4-680D5.2	0.00178	0.00136	0.00127	0.00194	0.00084	0.00319	0	0.00166	0.00774	0.00327	0.00128	0.00059	0.00236	0.00844
DDI2	0.19694	0.14968	0.09438	0.0684	0.09019	0.07014	0.06837	0.07895	0.12205	0.19253	0.11299	0.12955	0.17519	0.0553
RP4-680D5.9	0.00194	0.00084	0.00208	0.00018	0.00012	0.00047	0	0.00362	0.00137	0.00119	0	0	0	0
PLEKHM2	0.23213	0.21665	0.11358	0.05978	0.04356	0.0454	0.06017	0.09774	0.16628	0.24016	0.12749	0.20783	0.17402	0.02389
SLC25A34	0.02488	0.01348	0.00804	0.00105	0.00254	0.0035	0	0.00585	0.01271	0.01964	0	0.00795	0.01727	0
RP11-169K16.4	0	0	0	0	0.00029	0	0	0.00508	0	0	0	0	0.00875	0
TMEM82	0.00092	0.00107	0.00153	0.00118	0.07445	0.0237	0.00143	0	0.00198	0.00455	0	0	0	0
FBLIM1	0.02017	0.01513	0.00818	0.00414	0.06999	0.0736	0.00195	0.38912	0.01032	0.01893	0.00218	0.00676	0.18063	0
UQCRHL	0.00823	0.0068	0.0057	0.00302	0.01204	0.00817	0.00272	0.00613	0.00547	0.0056	0	0.00973	0.00475	0
FLJ37453	0.05555	0.0585	0.05958	0.04028	0.02787	0.03246	0.03104	0.06192	0.05732	0.03579	0.04889	0.05336	0.08939	0.04956
SPEN	0.28928	0.31595	0.25443	0.19396	0.17831	0.18604	0.19133	0.36032	0.32975	0.3096	0.23901	0.26769	0.41651	0.11694
ZBTB17	0.07904	0.04605	0.03516	0.05013	0.03096	0.0237	0.03649	0.04744	0.05979	0.04526	0.06484	0.06937	0.09572	0.02204
C1orf64	0	0.00034	0	0.00035	0.0107	0.00239	0	0.00059	0.00046	0	0	0.00095	0	0
HSPB7	0.00073	0	0	0	0.00574	0.00385	0.00106	0.05208	0	0	0	0	0	0
CLCNKA	0.00111	0.00024	0	0	0.00047	0.00021	0	0	0	0	0	0	0	0
CLCNKB	0	0	0	0	0.00169	0.00122	0	0	0	0	0	0	0	0
FAM131C	0	0	0	6e-04	0.00258	0.00209	0	0.0089	0	0	0	0	0	0
EPHA2	0.00085	0.00475	0.00444	0.00318	0.11548	0.06697	0.00106	0.07562	0.00341	0.0056	0.00797	0.00416	0.07279	0.02413
RP11-276H7.2	0	0	0.00078	0.00036	0.00209	0.00131	0	0.00154	0	0	0	0	0.00167	0
ARHGEF19	0.00252	0.00748	0.00578	0.01219	0.01547	0.00962	0.00536	0.01257	0.00648	0.00433	0.00966	0.00483	0.0301	0.01545
RSG1	0.00184	0.00481	0.00275	0.00268	0.00404	0.00077	0.00336	0.00339	0.00137	0.00605	0.0039	0.00261	0	0.01782
FBXO42	0.08322	0.09765	0.06513	0.0461	0.04534	0.04017	0.08322	0.07313	0.08037	0.07508	0.0514	0.06652	0.04458	0.0381
SZRD1	0.20633	0.20274	0.19922	0.16788	0.13745	0.05537	0.21905	0.28103	0.28809	0.2074	0.16216	0.234	0.28023	0.09852
SPATA21	0.00203	0.00095	0.00114	0.00165	0.00312	0.00361	0	0.00219	4e-04	0	0	0.00096	0	0
NECAP2	0.33611	0.48835	0.30549	0.1847	0.09979	0.06313	0.29169	0.21043	0.41635	0.50985	0.18589	0.36383	0.25401	0.15946
RP4-798A10.2	0.00813	0.00799	0.00434	0.00691	0.00302	0.00569	0.00587	0.00318	0.00444	0.00295	0.00376	0.01136	0.01077	0
RP4-798A10.7	0.00312	0.0051	0.0031	0.00767	0.01405	0.01198	0.00846	0.01469	0.01166	0.00101	0	0.00587	0.00808	0.00761
NBPF1	0.04901	0.08576	0.02122	0.01078	0.05547	0.03941	0.00569	0.06626	0.0492	0.05971	0.01725	0.03821	0.04069	0.03812
CROCC	0.01997	0.0223	0.0076	0.02072	0.0216	0.01728	0.02605	0.03389	0.02044	0.01793	0.00497	0.01153	0.0849	0.0329
RP11-108M9.4	0.14473	0.12412	0.16222	0.0209	0.02435	0.01613	0.01767	0.10038	0.15362	0.12784	0.02356	0.1192	0.11421	0.04902
RP11-108M9.6	0.00094	0.00793	0.00864	0.01729	0.00335	0.01007	0.00753	0.0118	0.0202	0.00135	0.00418	0.007	0.05876	0
MFAP2	0.00135	0.00106	0.0025	0.00079	0.02777	0.00965	0	0.03729	0.00156	0.0021	0	0.00115	0.16182	0.02328
ATP13A2	0.06998	0.11924	0.0324	0.04246	0.02957	0.02495	0.05177	0.03954	0.09802	0.0719	0.03521	0.04843	0.13513	0.02029
SDHB	0.26326	0.31261	0.28127	0.13451	0.29259	0.10104	0.19413	0.25302	0.35179	0.26768	0.15209	0.34821	0.22743	0.19048
PADI2	0.00176	0.00679	0.03273	0	0.00464	0.00084	0.00145	0.00334	0.00696	0.00643	0.00437	0.03817	0	0.08447
RP11-380J14.4	0	0	0	0.00037	0.00268	0.00957	0	0	0	0	0	0	0	0
PADI1	0	0	0	0.00106	0.01011	0.01264	0	0.00459	0	0	0	0	0	0
PADI4	0	6e-04	0.00953	0.00072	0.00012	0	0.00401	0.00215	0	0	0.00158	0	0	0
RCC2	0.1008	0.22551	0.16998	0.08808	0.14115	0.0962	0.09607	0.12876	0.2979	0.17836	0.10711	0.16881	0.23535	0.15912
ARHGEF10L	0.05586	0.08212	0.06909	0.00159	0.06472	0.06531	0.00154	0.05544	0.06287	0.09664	0.00397	0.06808	0.00393	0.01548
ACTL8	0	0	0.00101	0	0.00044	0	0	0	0	0	0	0	0	0
IGSF21	0.07422	0.22452	0.00356	0.00073	0.00299	0.0089	0.00266	0.04009	0.08431	0.17178	0.01151	0.01746	0	0
KLHDC7A	0	0.00047	0	0.00031	0.01099	0.00702	0	0	0	0.00126	0	0	0	0
ALDH4A1	0.01608	0.02143	0.01677	0.00225	0.12237	0.05518	0.00559	0.01926	0.02657	0.01042	0.00775	0.01233	0.01577	0
IFFO2	0.02061	0.01701	0.01949	0.07245	0.01341	0.01282	0.05071	0.05057	0.0325	0.03349	0.03666	0.03118	0.09497	0.12853
UBR4	0.20148	0.15076	0.17046	0.11256	0.15242	0.10276	0.12381	0.15865	0.16996	0.19135	0.09206	0.25044	0.18042	0.14647
RP1-43E13.2	0.01098	0.00907	0.00929	0.00794	0.00382	0.00131	0.01836	0.02559	0.01458	0.00731	0.0184	0.00831	0.02435	0.06435
EMC1	0.07091	0.10523	0.05077	0.04679	0.06849	0.06106	0.04014	0.08767	0.13276	0.13396	0.03713	0.07894	0.06948	0.02522
MRTO4	0.12945	0.15181	0.13606	0.05879	0.19553	0.07988	0.12188	0.15575	0.20872	0.13836	0.06235	0.14692	0.11724	0.01519
AKR7A3	0.00495	0.00127	0.00178	0.0025	0.07472	0.02033	0.00139	0.00372	0.0025	0.00226	0	0.00242	0.00269	0
AKR7A2	0.25486	0.28515	0.18246	0.08795	0.28516	0.0899	0.21404	0.29615	0.39354	0.28881	0.08715	0.27606	0.17769	0.00844
PQLC2	0.05321	0.06758	0.03846	0.00748	0.06233	0.03742	0.01131	0.02631	0.04431	0.08575	0.01603	0.04299	0.01105	0
CAPZB	1.18439	1.52579	0.93807	0.58411	0.40032	0.22194	0.67453	0.9572	1.23903	1.47342	0.31986	1.18807	0.62212	0.53563
MINOS1	0.77575	0.95752	0.83189	0.43936	0.60338	0.21335	0.73315	0.96009	1.06363	0.92357	0.34675	0.94401	0.69143	0.56775
NBL1	0.19509	0.10768	0.00731	0.11588	0.12031	0.07604	0.02768	0.31148	0.08524	0.19981	0.01583	0.0377	0.20668	0.0642
TMCO4	0.01936	0.05101	0.04271	0.02825	0.03823	0.03375	0.03906	0.03039	0.05115	0.03463	0.02942	0.03313	0.06556	0.03791
RNF186	0	0	0	0.00031	0.00797	0.00686	0	0	0	0	0	0	0.00386	0
OTUD3	0.01768	0.02092	0.01994	0.0228	0.02816	0.02614	0.01659	0.02699	0.04132	0.02002	0.01666	0.01989	0.04995	0.02102
PLA2G2A	0	0.00064	0	0.00034	0.00213	0.00163	0.00197	0.024	0	0	0	0.00164	0	0
PLA2G5	0	0	0	0	0.00014	0	0	0.11236	0.00078	0	0	0	0	0
PLA2G2D	0.00098	0.04794	0.00375	0.00068	0.00063	0.00223	0.00119	0.00206	0.01068	0.01858	0.01068	0.00441	0	0
RP3-340N1.2	0.0021	0.00557	0.00162	6e-04	0.00017	0.00058	0	0.00217	0.00408	0.00629	0	0.002	0	0
PLA2G2C	0.00334	0.00099	0.00185	0.00111	0.00025	0.00218	0.0039	0	0.00068	0.00184	0	0.00547	0	0
UBXN10-AS1	0.00083	0.00062	0.00617	0.01712	0.00117	0.00164	0.02869	0.01016	0.01005	0	0	0.00301	0	0.11884
UBXN10	0.00128	0.00042	0	0.00098	0.0095	0.00951	0.00166	0.00515	0.00328	0.00058	0	0	0	0.0271
CAMK2N1	0.03372	0.02707	0.02706	0.09215	0.81538	0.40199	0.09043	1.24575	0.06073	0.02346	0.02602	0.03013	0.06139	0.06556
MUL1	0.03867	0.05342	0.03326	0.02245	0.04806	0.02132	0.03698	0.03875	0.05526	0.04223	0.03776	0.03191	0.0483	0
CDA	0.01016	0.01416	0.19944	0.00133	0.07391	0.03117	0.00282	0.00885	0.01316	0.00866	0	0.06374	0.17191	0
PINK1	0.08164	0.11844	0.04393	0.02464	0.08556	0.03752	0.04081	0.15507	0.05015	0.10867	0.02713	0.07478	0.3303	0.04483
PINK1-AS	0.00333	0.00423	0.00544	0.00288	0.00215	0.00235	0.00225	0.002	0.00514	0.00556	0	0.00705	0.00438	0
DDOST	0.18964	0.36999	0.29183	0.17349	0.44993	0.23787	0.26209	0.37922	0.46899	0.30075	0.21714	0.36684	0.30599	0.21807
KIF17	0.00452	0.01324	0.00872	0	0.00134	0.00166	0	0.03369	0.01482	0.00812	0	0.01174	0.07981	0
SH2D5	0	0.00011	0	0	0.00063	0.00119	0	0	0	0	0	0	0	0
HP1BP3	0.46123	0.54504	0.46686	0.50971	0.36166	0.33066	0.5844	0.80863	1.11093	0.54366	0.41513	0.47306	0.69566	0.29547
EIF4G3	0.1506	0.20911	0.20606	0.1108	0.14007	0.10305	0.20739	0.29708	0.23984	0.17665	0.17631	0.2593	0.41456	0.11303
ECE1	0.0056	0.0043	0.05864	0.05515	0.11218	0.07468	0.07575	0.35697	0.0368	0.00159	0.08011	0.00833	0.78753	0.06528
RP5-1071N3.1	0	0	0.00066	0.00202	5e-05	0	0.00469	0.00454	0	0	0.00192	0	0	0
NBPF3	0.00061	0.00132	0.00179	0.0017	0.00169	0.00039	0.00364	0.01119	0	0.00261	0	0.00086	0	0
ALPL	0	0	0.00151	0	0.00331	0.00207	0	0.00229	0	0	0.03524	0	0.08684	0
RAP1GAP	0.00148	0.0016	0.00088	0.00067	0.06638	0.05305	0.00307	0.00217	0.00271	0.00616	0.00316	0	0.00269	0
USP48	0.16865	0.21128	0.16586	0.14529	0.14463	0.09021	0.23221	0.19807	0.32586	0.18926	0.19751	0.2164	0.24481	0.1686
LDLRAD2	0	0	0.00203	0	0.00126	0.00256	0	0	0	0	0.00526	0.00118	0.05058	0.01496
HSPG2	0.01292	0.00941	0.00451	0.01465	0.24912	0.19058	0.00627	0.15027	0.0056	0.01638	0.03133	0.0125	2.29516	0.10609
CELA3B	0	0	0	0.00037	0.00139	0	0	0	0	0	0	0	0	0
CELA3A	0	0.00023	0	0	0.00306	0.0015	0	0	0	0	0	0	0	0
RP1-224A6.3	0.00212	0.00319	0.00041	0.00086	0.00053	1e-04	0.00077	0	0.00155	0	0	0.00221	0	0
LINC00339	0.02868	0.04022	0.02374	0.01707	0.01226	0.01076	0.014	0.03603	0.07473	0.04759	0.01622	0.04414	0.02773	0.00761
CDC42	1.50624	1.59959	1.60719	1.29159	0.95335	0.4296	1.38748	1.27757	1.63499	1.6079	1.07926	1.66361	1.25643	1.15066
RP1-224A6.9	0.00144	0.00102	0.0017	0.00163	0.00106	0.00049	0	0	0.00097	0.00433	0.00363	0.00069	0.00351	0.00966
WNT4	0	0.00024	0	0.00032	0.00627	0.00392	0	0.01813	0	0	0.00462	0	0.00152	0
ZBTB40	0.03716	0.03548	0.02576	0.03954	0.02864	0.02848	0.04156	0.04615	0.03389	0.0361	0.03947	0.03028	0.0296	0.02281
C1QA	1.69735	3.58591	0.89163	0.05742	0.13858	0.19994	0.09725	0.53312	2.1147	3.08987	0.05033	2.00625	0.07768	0.02797
C1QC	0.99798	2.64102	0.50882	0.02696	0.07573	0.11927	0.02902	0.35799	1.51102	2.18943	0.03068	1.35074	0.02221	0
C1QB	1.49227	3.53359	0.79144	0.05422	0.1336	0.18782	0.0569	0.50578	2.06214	3.07028	0.07194	1.82964	0.06485	0.02618
EPHB2	0.03492	0.09041	0.02028	0.00033	0.01649	0.01077	0	0.01626	0.03826	0.10403	0.00112	0.03865	0.00632	0
C1orf234	0.00066	0.00051	0	0.00036	0.00085	0.00151	0	0	0	0.00126	0	0	0	0
KDM1A	0.06835	0.10185	0.0978	0.04366	0.09808	0.0468	0.05563	0.10017	0.17801	0.10289	0.05255	0.07118	0.12478	0.02154
LUZP1	0.07171	0.13618	0.07365	0.20109	0.06741	0.07732	0.15723	0.23374	0.16517	0.11232	0.06766	0.11441	0.67202	0.07353
HTR1D	0	0	0	0	0.00092	0.00017	0	0	0	0	0	0	0	0
LINC01355	0.00988	0.0083	0.01086	0.00855	0.0242	0.03333	0.01361	0.02178	0.01424	0.00722	0.02224	0.01067	0.05614	0.05119
HNRNPR	0.28018	0.50674	0.46777	0.33708	0.42817	0.20823	0.48922	0.63264	0.88386	0.42227	0.28234	0.42386	0.47244	0.31789
ZNF436	0.01478	0.02097	0.01533	0.00485	0.0102	0.00691	0.00822	0.0576	0.01995	0.02873	0.00515	0.01194	0.06613	0.04467
ZNF436-AS1	0.00814	0.00771	0.00136	0.00268	0.00454	0.00769	0.00144	0.01998	0.00962	0.00365	0.00411	0.00509	0.00806	0
RP5-1057J7.7	0	0.00016	0	0	0.00263	0.00355	0	0.00691	0	0.00097	0	0	0	0
TCEA3	0.01257	0.01323	0.03554	0.01097	0.36241	0.13611	0.01042	0.04957	0.01939	0.00718	0.00767	0.00447	0.04872	0.00832
ASAP3	0.00306	0.00087	0.00181	0.00068	0.02274	0.01557	0	0.01991	0.00146	0.00213	0	0	0.06755	0
E2F2	0	0.01342	0.00641	0.00049	0.00201	0.00248	0	0.0023	0.06671	0	0.00143	0.00146	0	0
RP1-150O5.3	0	0	0	3e-04	0.00128	0.00015	0.00133	0	0	0	0	0	0.0032	0
ID3	0.07926	0.16491	0.13533	0.2124	0.10438	0.064	0.41512	1.28569	0.29569	0.12173	0.9878	0.18822	1.19098	0.15729
MDS2	0	0	0.00069	0.00131	7e-05	0	0.00136	0.00256	0	0	0.00502	0	0	0
RPL11	2.77292	2.89731	3.43734	3.33349	2.82318	1.85425	3.58088	3.18817	3.03315	2.7818	3.30974	3.22734	2.93882	3.74535
TCEB3	0.07588	0.11703	0.09346	0.0834	0.0905	0.04071	0.09118	0.06782	0.11544	0.10616	0.04556	0.08985	0.14514	0.03078
TCEB3-AS1	0.01078	0.01134	0.01522	0.00682	0.0254	0.00951	0.0158	0.02014	0.01366	0.01228	0.00586	0.00586	0.00839	0.01107
PITHD1	0.38559	0.40285	0.14445	0.28703	0.12988	0.07195	0.25105	0.2515	0.42062	0.44202	0.20384	0.26561	0.18176	0.1344
LYPLA2	0.12204	0.19105	0.11793	0.10869	0.12977	0.07797	0.15538	0.13215	0.16311	0.19776	0.09267	0.12909	0.17966	0.05075
GALE	0.06198	0.11182	0.04767	0.02145	0.19023	0.12944	0.0316	0.04988	0.07792	0.10607	0.01789	0.09428	0.09654	0.02155
HMGCL	0.12087	0.15648	0.083	0.02623	0.17	0.05689	0.05926	0.11127	0.13944	0.1761	0.03029	0.10814	0.08229	0.04043
FUCA1	0.22954	0.7355	0.11508	0.02122	0.16959	0.10724	0.02	0.10948	0.25386	0.64845	0.0242	0.1976	0.03565	0.05437
CNR2	0	0.00037	0.00177	0.00277	0.00014	0	0.00125	0	0.00128	0.00124	0.04278	0.00103	0	0
PNRC2	0.40278	0.44812	0.40751	0.32571	0.24724	0.13103	0.39845	0.40312	0.70139	0.47497	0.28113	0.46279	0.2923	0.14405
SRSF10	0.29673	0.43118	0.38835	0.39374	0.46356	0.28983	0.4169	0.55409	0.69747	0.3539	0.44555	0.35705	0.63588	0.29009
MYOM3	0	0	0	0	0.00355	0.00446	0	0	0	0	0	0	0.02711	0
IL22RA1	0	0	0	0.00044	0.01157	0.01031	0	0	0	0	0	0	0	0
IFNLR1	0.00839	0.00076	0.00071	0.00876	0.00871	0.00477	0.00761	0	0.00272	0.00788	0.02315	0.00363	0	0
STPG1	0.00798	0.00814	0.0065	0.0091	0.01984	0.01104	0.00444	0.00747	0.01617	0.00712	0.01064	0.00634	0.0575	0.00844
NIPAL3	0.00885	0.02287	0.01377	0.11887	0.05603	0.04927	0.1002	0.02448	0.06323	0.02396	0.04824	0.02168	0.07428	0.02297
RCAN3	0.10141	0.07307	0.06048	0.43209	0.06113	0.06545	0.41227	0.02907	0.16167	0.09436	0.10937	0.09909	0.0613	0.01675
RP4-594I10.3	0.00415	0.0026	0.00528	0.02319	0.00492	0.00434	0.00692	0.00229	0.00534	0.00324	0.00546	0.00148	0	0
NCMAP	0.00037	0.00111	0	0.00084	0.03068	0.01721	0.00222	0.00235	0.0016	0.00046	0	0	0	0
SRRM1	0.65272	0.87598	0.94903	0.97647	0.4473	0.27446	1.04968	0.81996	1.18202	0.81877	0.75277	0.86543	0.7922	0.89994
CLIC4	0.41443	0.19547	0.13839	0.01104	0.07776	0.03536	0.01456	0.4749	0.23648	0.33654	0.10178	0.2665	0.83065	0.07649
RUNX3	0.13769	0.14689	0.27553	1.07272	0.03742	0.05651	0.54419	0.05603	0.3352	0.16153	0.5031	0.23283	0.07674	0.34453
SYF2	0.4787	0.43433	0.51951	0.54851	0.35432	0.21141	0.70516	0.67696	0.56353	0.42009	0.58378	0.54687	0.59918	0.65382
RSRP1	0.51595	0.49635	0.46836	0.79422	0.25934	0.33534	0.5892	0.55106	0.48107	0.47065	0.52159	0.46423	1.00896	0.43742
RP3-465N24.6	0	0.00192	0.0037	0.00105	0.00098	0.00068	0.00271	0	0.00366	0	0.00664	0.00095	0.00515	0.01527
RHD	0.00077	0.00026	0	0.00886	0.00057	0.00031	0.00179	0	0.00103	0	0.00158	0	0.01253	0.00832
TMEM50A	0.80006	0.90787	0.71547	0.66513	0.55113	0.21686	0.6939	0.96796	0.88086	0.8966	0.37438	0.87385	0.70357	0.49784
RHCE	0	0.00077	0.00134	0.00291	0.00341	0.00217	0	0.0015	0.00107	0	0	0	0	0
TMEM57	0.0689	0.1131	0.06861	0.11504	0.13389	0.05336	0.06079	0.10844	0.11811	0.11114	0.0768	0.09945	0.17415	0.07927
LDLRAP1	0.01345	0.02513	0.01838	0.04927	0.02896	0.02647	0.0318	0.04755	0.03891	0.01693	0.01262	0.01227	0.06017	0
RP11-70P17.1	0	0.00084	0.00107	0.00241	2e-04	0	0.0034	0.00324	0	0.00126	0.00047	0.00075	0.00532	0
MAN1C1	0.02125	0.08805	0.02307	0.04195	0.00288	0.00331	0.02077	0.0635	0.04406	0.09051	0.00454	0.03301	0.07221	0.01297
RP1-187B23.1	0.00128	0.01313	0.00712	0.03034	0.00125	0.00095	0.00542	0.0221	0.01223	0.00558	0.00133	0.00804	0.00767	0.01077
SEPN1	0.07396	0.12201	0.04951	0.02293	0.06704	0.03722	0.03409	0.17424	0.10256	0.11155	0.01016	0.07643	0.67919	0.06219
RP1-317E23.3	0.00335	0.00237	0.00364	0.00223	0.00374	0.00299	0.00511	0.00305	0.00322	0.00484	0	0.00243	0	0
MTFR1L	0.09477	0.11412	0.07172	0.03255	0.07659	0.037	0.05462	0.12593	0.09007	0.11397	0.03418	0.08848	0.07082	0.03882
AUNIP	0.00027	0.00675	0.00103	0	0.00461	0.00102	0	0	0.01803	0.00067	0	0	0	0
RP1-125I3.2	0.00028	0.0012	0	0.00031	0.00014	0.00162	0	0.00085	0	0.00053	0	0.00298	0	0
PAQR7	0.01273	0.0445	0.02118	0.00394	0.04007	0.0257	0	0.03414	0.01923	0.03975	0.01094	0.01312	0.01893	0.02646
STMN1	0.42929	1.1704	0.25354	0.20108	0.41231	0.15116	0.12815	0.52966	2.69621	1.01136	0.11008	0.49744	0.48199	0.71106
PAFAH2	0.04886	0.05709	0.03174	0.02328	0.02963	0.02086	0.02095	0.04593	0.0476	0.06868	0.01138	0.03886	0.01834	0.05297
EXTL1	0	0.00047	0.00093	6e-04	0.00037	0.00045	0	0	0.00098	0	0	0.00075	0	0
SLC30A2	0.00141	0.00368	0	0.00069	0.00037	0.00058	0	0	0.00098	0.00439	0	0.00154	0	0.12546
TRIM63	0	0	0	0	0	0.00115	0	0	0.00073	0	0	0	0	0.16406
PDIK1L	0.01715	0.0626	0.01895	0.01889	0.02645	0.01455	0.02655	0.02206	0.06397	0.03276	0.01893	0.02521	0.03168	0.05276
FAM110D	0	0.00025	0	0.00072	0.00046	0.00063	0	0.00919	0	0	0.00266	0	0.29394	0.01317
RP11-96L14.8	0	2e-04	0	0	0.00042	0.00013	0	0	0	0	0	0	0	0
ZNF593	0.15928	0.2313	0.23415	0.09034	0.4155	0.12361	0.1198	0.30751	0.21962	0.17471	0.16743	0.17452	0.14548	0.22429
CNKSR1	0.00021	0.00059	0.00144	0.00286	0.03085	0.02443	0.00531	0	0.0013	0	0.0077	0	0.0019	0
CEP85	0.03048	0.02997	0.01844	0.00959	0.02014	0.01596	0.00727	0.01092	0.06012	0.0267	0.00468	0.02341	0.0158	0.01132
SH3BGRL3	3.28799	2.75342	3.04361	2.093	0.96513	0.63681	2.17102	1.2824	2.68977	3.04774	1.10497	3.18973	1.63249	2.17886
UBXN11	0.1843	0.12502	0.15724	0.04872	0.03134	0.03955	0.03368	0.04428	0.13368	0.13781	0.05857	0.12361	0.03718	0.0141
CD52	2.09174	0.94496	2.11243	1.88481	0.09355	0.16465	2.05501	0.24796	1.50659	1.24756	1.35367	2.02594	0.19636	0.50841
AIM1L	0.0037	0.00247	0.00088	0.01122	0.03609	0.02057	0.00646	0.00388	0.00644	0.0018	0	0.00183	0	0
ZNF683	0	0.00039	0.00201	0.06862	6e-04	0.0014	0.01329	0	0.01646	0	0.00793	0.00286	0.00302	0.01283
LIN28A	0	0	0	0.00039	0.00682	0.00277	0	0.00139	0.00069	0.00116	0.00352	0	0	0
DHDDS	0.07841	0.11049	0.07586	0.04571	0.06764	0.05007	0.06704	0.06362	0.11381	0.11609	0.05828	0.10276	0.08588	0.03742
HMGN2	0.84567	1.24808	1.1024	0.66663	0.62903	0.29355	0.86966	1.15744	2.67106	0.9738	0.67581	1.0502	0.63573	0.93448
RPS6KA1	0.14334	0.18859	0.17686	0.07315	0.03832	0.0296	0.10978	0.0325	0.20679	0.18758	0.04123	0.19291	0.03158	0.08926
RP5-968P14.2	0	0.00039	0	0.00036	0.00059	0	0.00229	0	0	0.00157	0	0	0	0
ARID1A	0.20211	0.36679	0.31179	0.19107	0.18673	0.10923	0.18229	0.38758	0.42606	0.36397	0.20238	0.26033	0.26372	0.15282
PIGV	0.02604	0.03205	0.02634	0.01726	0.03765	0.01435	0.0191	0.01825	0.02807	0.0306	0.02233	0.02383	0.02098	0.01034
ZDHHC18	0.042	0.07447	0.05086	0.10316	0.03356	0.03027	0.12917	0.05692	0.07099	0.07806	0.08072	0.04787	0.0631	0.00927
SFN	0.00816	0.00702	0.00525	0.01117	0.34992	0.15506	0.00964	0.01097	0.00966	0.0077	0.01036	0.01108	0.0039	0.01317
GPN2	0.05336	0.06292	0.04728	0.04179	0.09128	0.04886	0.03804	0.05409	0.09033	0.06037	0.04708	0.05761	0.07846	0.01977
GPATCH3	0.04045	0.03939	0.02942	0.01996	0.04323	0.01684	0.02178	0.02815	0.04894	0.04067	0.01298	0.03345	0.01153	0.02211
NUDC	0.35224	0.48908	0.48952	0.41669	0.87021	0.32203	0.50472	0.58397	0.77831	0.44653	0.34641	0.49354	0.41796	0.47201
NR0B2	0.01326	0.00919	0.00464	0.00173	0.22491	0.07393	0.00412	0.00156	0.0149	0.0089	0.00288	0.00734	0	0
KDF1	0.00161	0	0	0.00056	0.02065	0.0069	0.00137	0	0	0	0	0	0	0
TRNP1	0.05612	0.04111	0.03041	0.01562	0.80616	0.3504	0.04917	0.07058	0.04458	0.05773	0.00583	0.04274	0.02179	0
FAM46B	0.00062	0.0015	0.00171	0.00023	0.00289	0.00228	0	0.00375	0.00516	0	0	0.0014	0	0.01965
SLC9A1	0.03047	0.04553	0.0344	0.03533	0.0537	0.04813	0.06358	0.05441	0.04993	0.04649	0.02277	0.05341	0.10601	0.13135
WDTC1	0.03786	0.0536	0.04144	0.0413	0.03924	0.02754	0.06669	0.04716	0.04949	0.0634	0.06404	0.04024	0.06462	0.02857
